"userid";"password";"email";"fname";"lname";"phoneno"
"abigalef56";"test@123";"abigalef56@yahoo.com";"Wilde";"Abigale";"2147483647"
"alan367";"test@123";"alan367@gmail.com";"Padre";"Alanna";"2147483647"
"alannab367";"test@123";"alannab367@gmail.com";"Padre";"Alanna";"2147483647"
"alex1861";"test@123";"alex1861@gmail.com";"Binion";"Alex";"2147483647"
"alexander13";"test@123";"alexander13@yahoo.com";"Viny";"Alex";"2147483647"
"alexr861";"test@123";"alexr861@gmail.com";"Binion";"Alex";"2147483647"
"anna24abrah";"test@123";"abtahamy@unlv.nevada.edu";"Abrahamyam";"Anna";"2147483647"
"annmarya11";"test@123";"annmarya11@gmail.com";"Gary";"Annmary";"2147483647"
"annmarys11";"test@123";"annmarys11@gmail.com";"Gary";"Annmary";"2147483647"
"aquam7685";"test@123";"aquam7685@gmail.com";"Sheen";"Aqua";"2147483647"
"ash1234";"test@123";"kumara1@unlv.edu";"Ashish";"Nasa";"2147483647"
"baron43";"test@123";"baron43@gmail.com";"Smith";"Baron";"2147483647"
"baronm43";"test@123";"baronm43@gmail.com";"Smith";"Baron";"2147483647"
"barons143";"test@123";"barons143@gmail.com";"Smith";"Baron";"2147483647"
"benb661";"test@123";"benb661@yahoo.com";"Kapa";"Ben";"2147483647"
"benjamin661";"test@123";"benjamin661@yahoo.com";"Kapa";"Ben";"2147483647"
"billyrt";"test@123";"billyrt29@yahoo.com";"Madison";"Billy";"2147483647"
"bisonm67";"test@123";"bisonm67@hotmail.com";"Harley";"Bison";"2125438671"
"burts71";"test@123";"burts71@aol.com";"Ernie";"Burt";"2124351337"
"byzantine18";"test@123";"byzantine18@yahoo.com";"Young";"Byzantine";"2147483647"
"catherines541";"test@123";"catherines541@aol.com";"Bonita";"Catherine";"2125365471"
"chadg88";"test@123";"chadg88@gmail.com";"Puffin";"Chadwick";"2147483647"
"conie65";"test@123";"conie65@yahoo.com";"Nickle";"Connie";"2147483647"
"connieb651";"test@123";"connieb651@yahoo.com";"Nickle";"Connie";"2147483647"
"cracker132";"test@123";"cracker132@gmail.com";"Cracker";"Tony";"2147483647"
"cracker32";"test@123";"cracker32@gmail.com";"Cracker";"Tony";"2147483647"
"crackering32";"test@123";"crackering32@gmail.com";"Cracker";"Tony";"2147483647"
